"CI job","failed job","successful job"
"equations",164.415018,
"equations",180.122874,
"rewriter",182.068113,
"coqtail",,173.50232
"coq_dpdgraph",177.732755,173.704706
"reduction_effects",,175.01669
"reduction_effects",,181.410612
"vscoq",,187.531212
"vscoq",,184.519628
"paramcoq",,179.350435
"paramcoq",,193.689403
"bigenough",,189.501362
"aac_tactics",,186.060424
"aac_tactics",,193.283036
"stdlib2",,191.280691
"autosubst",,193.945114
"finmap",,194.435486
"coqhammer",,205.651839
"coqhammer",,193.541319
"bbv",,203.181627
"lean_importer",,225.855122
"lean_importer",,231.296868
"argosy",,230.513854
"paco",,245.50617
"tlc",,252.563022
"menhir",,263.906128
"bignums",,305.32098
"bignums",,290.379255
"mtac2",,308.855658
"mtac2",,299.75594
"itauto",,306.575779
"itauto",,325.463099
"plugin_tutorial",165.122702,342.759126
"plugin_tutorial",,340.435708
"relation_algebra",161.484235,343.495548
"flocq",,363.355241
"sf",,453.369353
"elpi",,625.03734
"elpi",,620.810805
"hott",,677.246455
"engine_bench",,833.586763
"coq_tools",,839.298999
"cross_crypto",,973.152105
"fiat_parsers",176.744285,1048.309681
"mathcomp_base",,1079.097791
"coq_performance_tests",,1233.183513
