"ci","whisker 2.15% (failed)","8.87% (failed)","lower quartile (failed)","delta median (failed)","delta upper quartile (failed)","91.13% (failed)","whisker 97.85% (failed)","mean (failed)","whisker 2.15% (success)","8.87% (success)","lower quartile (success)","delta median (success)","delta upper quartile (success)","91.13% (success)","whisker 97.85% (success)","mean (success)"
"",0.0013667843316377316,0.001699016299408565,0.0017994405873842593,0.00014790077835648134,9.248325520833361e-05,0.002078204157517361,9.004342236111022e-05,0.0018558026284722228,"","","","","","","",""
"reduction-effects","","","","","","","","",0.00013972606561921314,0.002002429784712963,0.002064606096643519,5.490080729166633e-05,4.798625289351849e-05,0.0022147887882141204,0.00014103036917824082,0.0021333666436603753
"","","","","","","","","","","","","","","","",""
"",0.0013772863450925924,0.0016939678222314817,0.0017995231944444442,0.00018452075231481535,9.139666666666685e-05,0.0021878362046666667,0.0005889339417129609,0.0019354121211013647,"","","","","","","",""
"coqtail","","","","","","","","",0.00013858330202546308,0.0020532667382986117,0.002112388640046296,5.022823495370388e-05,4.772262731481472e-05,0.002266465268550926,0.0001642553025810187,0.002175402342905927
"","","","","","","","","","","","","","","","",""
"",0.0002822066644849535,0.0017608221962488425,0.0019631555931712962,7.147816261574057e-05,0.00013321026620370354,0.002224884849582176,0.00012182796247685226,0.002107746488683128,"","","","","","","",""
"coq-dpdgraph","","","","","","","","",0.00015753096776620432,0.0020831143064467595,0.002142658090277778,5.3490057870370176e-05,4.588159722222242e-05,0.0022960165606365737,0.000155729638541666,0.0022202127673479717
"","","","","","","","","","","","","","","","",""
"",0.0003645943486226852,0.0017917363984050923,0.001999043287037037,0.0001037820949074072,6.577648726851853e-05,0.0022324827150601856,0.00017500127896990722,0.00204187884930361,"","","","","","","",""
"vscoq","","","","","","","","",0.0001397989806481482,0.0021394009071666665,0.002199984166666667,5.0671562499999667e-05,5.057101851851844e-05,0.0023566962176111107,0.00016959396083333477,0.0022764751824390886
"","","","","","","","","","","","","","","","",""
"",0.0002462917787268519,0.001703443987361111,0.0017805528356481483,0.00024456628472222224,9.219881944444452e-05,0.0021878721666990742,0.00011820241608796224,0.0019443693801440326,"","","","","","","",""
"aac-tactics","","","","","","","","",0.00013957077564814803,0.0021491737728333332,0.0022085994791666663,5.614372685185196e-05,5.31018055555557e-05,0.0023734145267962966,0.0001602013047685186,0.002283512171328804
"","","","","","","","","","","","","","","","",""
"",0.0017441373074074075,0.0017132369933333333,0.001992878460648148,9.42436342592592e-05,0.00014719041666666662,0.0023212336532407404,0.00014828347546296276,0.0020717999834247835,"","","","","","","",""
"paramcoq","","","","","","","","",0.00015617193351851822,0.002175070779851852,0.002238543587962963,5.7107905092592705e-05,4.953996527777777e-05,0.0024071243951296296,0.00017296335101851844,0.0023166042216065164
"","","","","","","","","","","","","","","","",""
"",7.51528388599535e-05,0.0016648640561400462,0.0017141109722222222,2.7691151620370382e-05,2.5784690393518446e-05,0.002247523688983798,0.005704174474525455,0.0023702134365354934,"","","","","","","",""
"bigenough","","","","","","","","",0.00015909450493055595,0.002186572104958333,0.00225295328125,6.218888310185198e-05,5.8757447916666424e-05,0.0024302457653981482,0.00018193943021990776,0.0023205119092525503
"","","","","","","","","","","","","","","","",""
"",0.0014977366125462962,0.0016531029795023148,0.0017564775520833333,0.00024677196180555557,0.00020427737268518533,0.0023358855379953703,0.003268694315300927,0.0020749118491602075,"","","","","","","",""
"autosubst","","","","","","","","",0.00017579058478009273,0.0022157612408796297,0.002279550208333333,6.623436342592659e-05,5.65964901620363e-05,0.0024528823620254625,0.00016998664137731411,0.0023578645453864277
"","","","","","","","","","","","","","","","",""
"",0.0013732441808449074,0.0016964179284722223,0.0017498425752314815,0.0003303479571759261,0.00018865130208333336,0.002388779885127315,0.0020879340457175856,0.0020781385684458965,"","","","","","","",""
"stdlib2","","","","","","","","",0.00017695278062500016,0.0022259553175983794,0.0022931123842592598,6.349324652777776e-05,5.252608217592514e-05,0.002464639220587963,0.0001494222633622688,0.0023604257164434516
"","","","","","","","","","","","","","","","",""
"",0.00026703717274305567,0.001734144951215278,0.0018725734664351852,0.00014139455439814825,0.00013390399884259272,0.002246526808969907,0.00028527150839120254,0.0020068665559186635,"","","","","","","",""
"bbv","","","","","","","","",0.00015977488454282408,0.002282991057107639,0.0023484767505787037,5.099579571759237e-05,4.69825983796298e-05,0.002517119073009259,0.00020604804046874935,0.0024262516091718093
"","","","","","","","","","","","","","","","",""
"",0.0003175524711458331,0.001743461557563657,0.0020099728993055554,0.00029377097800925957,8.04059751157403e-05,0.0025434473155,0.0004388300472974527,0.0022151678979700864,"","","","","","","",""
"coqhammer","","","","","","","","",0.00019469011643518525,0.002397573267858796,0.002466487997685185,6.42385185185188e-05,6.13386400462961e-05,0.0026592159051041665,0.00022690832812500032,0.0025455569598319835
"","","","","","","","","","","","","","","","",""
"",0.0014367292091145832,0.0003592864541284722,0.0016803835156249999,9.032811053240721e-05,0.0005690106481481484,0.0026206410119074077,0.0046791058521817065,0.002130980315072016,"","","","","","","",""
"finmap","","","","","","","","",0.0001849490235532403,0.002441143534548611,0.0025189277141203703,9.196210069444466e-05,7.853325231481486e-05,0.00276073134099537,0.00021810744253472278,0.0026183526467521523
"","","","","","","","","","","","","","","","",""
"",0.00029711704972222195,0.0016735106831851853,0.001963943622685185,9.227718749999989e-05,0.006241568773148147,0.12642428655366664,0.11813779896499998,0.03028887237911522,"","","","","","","",""
"lean-importer","","","","","","","","",0.00012940017704861145,0.002543613817453704,0.002618261177662037,4.716650173611139e-05,5.098214699074009e-05,0.0027922953698124994,0.00015948072580439796,0.002670018238450039
"","","","","","","","","","","","","","","","",""
"",0.0014726706670370369,0.0013640765041944445,0.0018765800752314813,0.0005359425520833337,0.00012898756365740732,0.002582934088641204,4.679190366898211e-05,0.0020645843865740744,"","","","","","","",""
"mathcomp-word","","","","","","","","",0.0001976219436574068,0.0026122915133703706,0.0026846250868055553,7.496846064814801e-05,8.70827633101855e-05,0.0029391236933194445,0.0002088382207175929,0.002775072718068377
"","","","","","","","","","","","","","","","",""
"",0.000881353844884259,0.001707982556361111,0.0019879973032407407,6.928307870370356e-05,0.0002180544560185186,0.0026616734374537037,0.0005358284803009257,0.00213446726581289,"","","","","","","",""
