initial_size,final_size,total_line_reduction,origin
465,8,567,ci-minimization
1124,10,1118,ci-minimization
101,17,112,ci-minimization
465,8,567,ci-minimization
218,368,537,ci-minimization
1806,2,3613,ci-minimization
89,9,84,ci-minimization
934,725,627,ci-minimization
1332,13,1323,ci-minimization
297,25,293,ci-minimization
260,23,241,ci-minimization
539,44,499,ci-minimization
279,27,256,ci-minimization
788,458,332,ci-minimization
2288,71,2267,ci-minimization
252,17,239,ci-minimization
1016,69,984,ci-minimization
258,5,513,ci-minimization
1510,1256,1667,ci-minimization
842,1041,572,ci-minimization
533,857,1222,ci-minimization
493,141,620,ci-minimization
714,557,745,ci-minimization
175,96,205,ci-minimization
949,362,802,ci-minimization
176,18,162,ci-minimization
508,87,612,ci-minimization
58,6,111,ci-minimization
58,6,111,ci-minimization
383,137,1089,ci-minimization
801,705,1531,ci-minimization
306,653,308,ci-minimization
3017,366,2851,ci-minimization
251,68,200,ci-minimization
195,240,66,ci-minimization
1339,878,1025,ci-minimization
923,162,707,ci-minimization
743,633,1813,ci-minimization
485,289,306,ci-minimization
267,221,178,ci-minimization
143,464,149,ci-minimization
425,1946,-1514,ci-minimization
2180,59,2231,ci-minimization
99,41,62,ci-minimization
1349,107,1308,ci-minimization
738,856,4017,ci-minimization
138,33,155,ci-minimization
205,37,204,ci-minimization
218,308,177,ci-minimization
232,327,240,ci-minimization
2399,573,2101,ci-minimization
763,401,720,ci-minimization
631,3141,-1486,ci-minimization
981,575,2676,ci-minimization
703,1026,10,ci-minimization
688,301,858,ci-minimization
374,174,667,ci-minimization
541,688,721,ci-minimization
2099,1513,1266,ci-minimization
80,3,161,ci-minimization
7612,48,7587,ci-minimization
252,540,261,ci-minimization
398,22,380,ci-minimization
916,2446,1615,ci-minimization
454,96,487,ci-minimization
262,89,298,ci-minimization
103,27,80,ci-minimization
295,654,416,ci-minimization
5976,3804,709,ci-minimization
613,17,650,ci-minimization
423,505,34,ci-minimization
449,915,-24,ci-minimization
412,596,547,ci-minimization
4641,931,3544,ci-minimization
414,1141,831,ci-minimization
703,33,714,ci-minimization
1229,45,1189,ci-minimization
211,37,275,ci-minimization
330,613,-234,ci-minimization
452,215,304,ci-minimization
265,768,-115,ci-minimization
452,215,304,ci-minimization
45,35,32,ci-minimization
45,35,32,ci-minimization
2430,1320,1966,ci-minimization
321,124,256,ci-minimization
249,105,239,ci-minimization
5070,223,4952,ci-minimization
5070,223,4952,ci-minimization
522,81,465,ci-minimization
717,2648,-1199,ci-minimization
388,546,-122,ci-minimization
153,1229,-571,ci-minimization
1726,122,1711,ci-minimization
1726,122,1711,ci-minimization
618,157,502,ci-minimization
