"ave_f","ave_s","iq10r_f","iq10r_s","iq4r_f","iq4r_s","lower_whisker_10_f","lower_whisker_10_s","lower_whisker_4_f","lower_whisker_4_s","max_f","max_s","min_f","min_s","name","percentile2_f","percentile2_s","percentile91_f","percentile91_s","percentile98_f","percentile98_s","percentile9_f","percentile9_s","q1_of_10_f","q1_of_10_s","q1_of_4_f","q1_of_4_s","q2_of_10_f","q2_of_10_s","q2_of_4_f","q2_of_4_s","q3_of_10_f","q3_of_10_s","q3_of_4_f","q3_of_4_s","q4_of_10_f","q4_of_10_s","q5_of_10_f","q5_of_10_s","q6_of_10_f","q6_of_10_s","q7_of_10_f","q7_of_10_s","q8_of_10_f","q8_of_10_s","q9_of_10_f","q9_of_10_s","upper_whisker_10_f","upper_whisker_10_s","upper_whisker_4_f","upper_whisker_4_s"
167.99351444444437,197.29545160280875,40.536861999999985,18.15160180000001,29.096505000000008,9.438814000000008,137.778061,160.936777,137.778061,176.667718,197.113763,1178.654946,41.150178,107.712012,"aac-tactics",46.368083682,178.757428016,189.51571579720002,205.05115888480003,196.88744225000002,214.111197268,146.406915492,185.6914600272,148.25094,186.3096784,153.839765,190.822995,151.4573522,189.5349434,174.970292,195.673813,162.993123,191.9738308,182.93627,200.261809,167.01400919999998,194.11283020000002,174.970292,195.673813,177.1615612,197.3811544,179.42517279999998,199.1782946,185.6380188,201.268817,188.787802,204.4612802,197.113763,230.709075,197.113763,214.300531
357.5383722857143,776.2713226167745,330.2622423,341.8771356000001,62.540887750000024,210.68394049999995,19.092604,350.05227,292.12804,350.05227,702.971103,8294.719311,19.092604,350.05227,"analysis",65.00252375099998,526.5612296775,472.8502880187001,890.5320709689,616.0327555315001,949.6573236395002,150.5820681456,543.544477301,148.37233379999998,545.2678175,353.23470675,645.019078,328.75207839999996,568.5771282000001,373.9927025,826.2411365,366.3241947,796.1096685,415.7755945,855.7030185,372.7170408,814.54175,373.9927025,826.2411365,394.8644064,837.7500501999999,399.949259,848.7788131,419.67847240000003,864.1627640000002,478.6345761,887.1449531000001,702.971103,1321.190775,495.72832,1062.541542
184.4179717662337,241.86632591315382,79.31815639999996,20.149526700000024,24.825963,9.166642749999994,138.983294,200.09043,138.983294,221.520936,471.545159,1533.096399,2.715126,93.196598,"argosy",63.857240197999985,224.773917842,232.25524300400002,251.66202379590004,243.797078302,263.8129927435002,145.5496631304,229.6344871752,148.7094806,230.190743,171.762967,234.59551249999998,169.6375558,233.47952999999998,177.749025,239.079449,172.94781500000002,235.5134042,196.58893,243.76215524999998,175.132431,237.2587064,177.749025,239.079449,185.27107339999998,240.73160440000004,194.398548,242.50637460000002,203.6815612,245.1980962,228.02763699999997,250.34026970000002,245.043346,277.869997,233.481999,257.482588
179.27238376744188,203.71949672138769,53.926518200000004,19.496252500000026,38.9706625,10.621929249999994,139.433867,169.493454,139.433867,181.105404,513.620307,993.184874,14.843348,67.32106,"autosubst",15.650270824000001,181.80792052500001,203.04890351720002,211.980243921,509.272516158,222.03406643500003,142.331029571,191.411176788,144.0983818,191.98168349999997,151.7596605,196.94458,150.2854604,195.648766,173.080758,202.675787,152.575051,198.502117,190.730323,207.56650925,156.41976019999998,200.718739,173.080758,202.675787,188.28364,204.538093,189.3907264,206.5240825,191.1405178,208.5186,198.0249,211.477936,205.549675,239.79494,205.549675,223.441759
173.39327043137254,209.62813903244444,42.77522400000001,18.855790599999978,23.785795000000007,8.464403750000002,138.369046,174.195431,138.369046,190.238733,363.131308,1554.455988,2.758448,73.217664,"bbv",142.67695322499998,189.0855077745,193.769762705,217.481804092,198.15741817500006,229.2614818035001,149.843853215,197.2409476659,149.889794,197.83369240000002,161.7903475,202.90863975,155.806427,201.6258382,174.006837,207.314428,167.307315,203.8123998,185.5761425,211.3730435,171.766896,205.7095064,174.006837,207.314428,175.562762,208.7586316,182.979689,210.2828873,187.519992,212.6467098,192.665018,216.689483,211.288264,244.720571,211.288264,224.044408
1242.2076924267253,4590.702125926987,2967.0840452999996,1766.6326516000004,475.83877225000003,1035.6328694999993,25.922375,3486.766068,25.922375,3486.766068,10892.453445,8265.976604,25.922375,3486.766068,"bedrock2",146.2116376235,3623.595357318,3241.4750575621997,5604.304863024399,10802.948940706501,5880.811786421,163.8526042551,3729.6801638141997,182.1942659,3741.8558422,202.2998105,3971.8957515,196.68876120000002,3877.8854342000004,328.2111095,4782.752068,215.5019072,4102.2162388,678.1385827500001,5007.5286209999995,272.4299554,4264.7537514,328.2111095,4782.752068,607.3714092,4903.4735272,631.6717948,4972.569692,1002.5576545999996,5050.5294018,3149.2783111999997,5508.4884938000005,5234.36816,6848.443308,1199.382359,6538.298649
204.78644091666663,200.49222895942054,8.755530300000004,19.858965000000012,5.401236250000011,10.44976299999999,140.889869,161.147219,140.889869,179.000943,789.973029,746.604812,140.889869,64.143183,"bigenough",143.20172027750002,180.89923372599998,775.1348372717999,209.96599386960003,323.76070865100075,220.99421972899998,140.96344854950001,188.92500213160002,147.1041436,189.556163,147.671848,194.65516350000001,148.14192200000002,193.18008700000001,150.4917035,200.028283,148.5555711,195.8907264,153.07308425000002,205.1049265,149.27923800000002,197.9551684,150.4917035,200.028283,151.6154766,201.924842,152.2342722,203.9423416,152.6841424,206.3091282,155.8596739,209.415128,153.249876,238.781022,153.249876,220.701717
208.74134634782607,303.50069475710717,151.77832179999996,27.265077799999972,96.23984499999997,12.944440999999983,139.338089,250.996352,139.338089,276.236242,342.330828,758.90373,139.338089,196.680937,"bignums",142.14588084599998,283.21493457099996,299.7867801652,319.7115101772,322.063906644,339.2181925820007,150.4985361736,289.84681441099997,149.3146208,290.43625460000004,156.965762,295.5532875,154.9193476,294.00238420000005,187.862683,301.429485,173.1498082,296.8592304,253.205607,308.4977285,181.0469874,299.1218152,187.862683,301.429485,192.761777,303.7095276,239.18161779999997,306.7379732,269.65193999999997,310.3006594,301.09294259999996,317.7013324,342.330828,357.775125,342.330828,327.889198
1516.105941483146,3255.5051508068805,2810.5377175999997,1209.7435059999998,1792.0816200000002,114.10222900000008,115.061585,2085.378977,115.061585,3145.824415,10802.950526,5790.712293,115.061585,2085.378977,"category-theory",128.547454544,2160.80769784,3030.9932646592,3499.1183017800004,6315.51107800003,4784.658355965007,185.6759574328,2244.2911462026004,187.4722898,2274.7391594,213.066173,3271.4850575,198.03000500000002,3254.9122974,1865.289256,3325.526059,323.75510859999997,3282.9845530000002,2005.147793,3385.5872865,1108.0370204,3305.8529502,1865.289256,3325.526059,1949.5748938,3346.7059386,1977.457494,3372.2367092000004,2081.407877,3408.0888422,2998.0100073999997,3484.4826654,6629.861737,5284.280527,3719.207487,3554.370424
660.0434131833332,1211.1114394540746,1073.9571506,178.87585290000015,871.3256975,89.35599899999988,9.935305,872.222551,9.935305,1037.966998,1406.103224,2968.910543,9.935305,643.603645,"color",152.9095268275,818.3736557575,1283.7327891639,1321.9183046499998,1315.6272457985,1439.327990842,215.1981056737,1131.53454138,210.45306109999999,1135.8295583,360.04915474999996,1171.38117725,273.55035599999997,1161.1370232,507.039913,1208.8736880000001,422.76380409999996,1178.7291678,1231.37485225,1260.73717625,474.2235526,1193.5950554,507.039913,1208.8736880000001,591.0710892,1226.5259758,797.0818188000001,1247.9299894,1246.5171706,1276.5000094000002,1284.4102117,1314.7054112,1406.103224,1581.148461,1406.103224,1394.295098
