target,number,date_start,date_end,body,targets,runtime,initial_size,final_size,inline_failure,truncated,total_line_reduction,success,duration
ci-compcert,13107,2021-06-29 14:41:10,2021-06-29 14:54:16,"Minimized File /github/workspace/builds/coq/coq-failing/_build_ci/compcert/lib/UnionFind.v (from ci-compcert) (full log on GitHub Actions)\nMinimized Coq File (consider adding this file to the test-suite)\n(* -*- mode: coq; coq-prog-args: (""-emacs"" ""-q"" ""-w"" ""-undeclared-scope"" ""-w"" ""-omega-is-deprecated"" ""-dump-glob"" ""/github/workspace/builds/coq/coq-failing/_build_ci/compcert/doc/UnionFind.glob"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/compcert/lib"" ""compcert.lib"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/compcert/common"" ""compcert.common"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/compcert/x86_32"" ""compcert.x86_32"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/compcert/x86"" ""compcert.x86"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/compcert/backend"" ""compcert.backend"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/compcert/cfrontend"" ""compcert.cfrontend"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/compcert/driver"" ""compcert.driver"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/compcert/exportclight"" ""compcert.exportclight"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/compcert/cparser"" ""compcert.cparser"" ""-Q"" ""/github/workspace/cwd"" ""Top"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_install_ci/lib/coq/user-contrib/Flocq"" ""Flocq"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_install_ci/lib/coq/user-contrib/Ltac2"" ""Ltac2"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_install_ci/lib/coq/user-contrib/MenhirLib"" ""MenhirLib"" ""-top"" ""UnionFind"" ""-native-compiler"" ""no"") -*- *)\n(* File reduced by coq-bug-finder from original input, then from 728 lines to 810 lines, then from 814 lines to 810 lines *)\n(* coqc version 8.15+alpha compiled with OCaml 4.12.0\n   coqtop version 8.15+alpha *)\nDeclare ML Module ""ltac_plugin"".\nModule Export AdmitTactic.\nModule Import LocalFalse.\nInductive False := .\nEnd LocalFalse.\nAxiom proof_admitted : False.\nTactic Notation ""admit"" := abstract case proof_admitted.\nEnd AdmitTactic.\nRequire Coq.Program.Wf.",,,728.0,810.0,False,False,-78.0,True,786.0
ci-elpi,13107,2021-06-29 14:41:10,2021-06-29 14:44:05,Error: Could not minimize file  (from ci-elpi) (full log on GitHub Actions)\nbuild log (truncated to last 26KiB; full 2.9MiB file on GitHub Actions Artifacts under build.log)\nq-native/Nelpi_apps_eltac_fail.cmx /builds/coq/coq/_install_ci/lib/coq//user-contrib/elpi/apps/eltac//.coq-native\nINSTALL theories/.coq-native/Nelpi_apps_eltac_discriminate.cmx /builds/coq/coq/_install_ci/lib/coq//user-contrib/elpi/apps/eltac//.coq-native\nINSTALL theories/.coq-native/Nelpi_apps_eltac_injection.cmx /builds/coq/coq/_install_ci/lib/coq//user-contrib/elpi/apps/eltac//.coq-native\nINSTALL theories/.coq-native/Nelpi_apps_eltac_case.cmx /builds/coq/coq/_install_ci/lib/coq//user-contrib/elpi/apps/eltac//.coq-native\nINSTALL theories/.coq-native/Nelpi_apps_eltac_generalize.cmx /builds/coq/coq/_install_ci/lib/coq//user-contrib/elpi/apps/eltac//.coq-native\nINSTALL theories/.coq-native/Nelpi_apps_eltac_cycle.cmx /builds/coq/coq/_install_ci/lib/coq//user-contrib/elpi/apps/eltac//.coq-native\nINSTALL theories/.coq-native/Nelpi_apps_eltac_tactics.cmx /builds/coq/coq/_install_ci/lib/coq//user-contrib/elpi/apps/eltac//.coq-native\nINSTALL theories/.coq-native/Nelpi_apps_eltac_assumption.cmxs /builds/coq/coq/_install_ci/lib/coq//user-contrib/elpi/apps/eltac//.coq-native\nINSTALL theories/.coq-native/Nelpi_apps_eltac_constructor.cmxs /builds/coq/coq/_install_ci/lib/coq//user-contrib/elpi/apps/eltac//.coq-native\nINSTALL theories/.coq-native/Nelpi_apps_eltac_intro.cmxs /builds/coq/coq/_install_ci/lib/coq//user-contrib/elpi/apps/eltac//.coq-native\nINSTALL theories/.coq-native/Nelpi_apps_eltac_clear.cmxs /builds/coq/coq/_install_ci/lib/coq//user-contrib/elpi/apps/eltac//.coq-native\nINSTALL theories/.coq-native/Nelpi_apps_eltac_fail.cmxs /builds/coq/coq/_install_ci/lib/coq//user-contrib/elpi/apps/eltac//.coq-native\nINSTALL theories/.coq-native/Nelpi_apps_eltac_discriminate.cmxs /builds/coq/coq/_install_ci/lib/coq//user-contrib/elpi/apps/eltac//.coq-native,,,,,,,,False,175.0
ci-fiat_crypto_legacy,13107,2021-06-29 14:41:10,2021-06-29 14:51:26,"Minimized File /github/workspace/builds/coq/coq-failing/_build_ci/fiat_crypto_legacy/bbv/src/bbv/Word.v (from ci-fiat_crypto_legacy) (full log on GitHub Actions)\nMinimized Coq File (consider adding this file to the test-suite)\n(* -*- mode: coq; coq-prog-args: (""-emacs"" ""-q"" ""-w"" ""-notation-overridden"" ""-w"" ""-deprecated-native-compiler-option"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/fiat_crypto_legacy/src"" ""Crypto"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/fiat_crypto_legacy/bbv/src/bbv"" ""bbv"" ""-Q"" ""/github/workspace/cwd"" ""Top"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_build_ci/fiat_crypto_legacy/coqprime/src/Coqprime"" ""Coqprime"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_install_ci/lib/coq/user-contrib/Ltac2"" ""Ltac2"" ""-I"" ""/github/workspace/builds/coq/coq-failing/_build_ci/fiat_crypto_legacy/coqprime/src"" ""-top"" ""Word"" ""-native-compiler"" ""no"") -*- *)\n(* File reduced by coq-bug-finder from original input, then from 7612 lines to 33 lines, then from 37 lines to 33 lines *)\n(* coqc version 8.15+alpha compiled with OCaml 4.12.0\n   coqtop version 8.15+alpha *)\nRequire Coq.Arith.Arith.\nImport Coq.Arith.Arith.\nImport Coq.Logic.Eqdep_dec.\n\nSet Implicit Arguments.\n\nInductive word : nat -> Set :=\n| WO : word O\n| WS : bool -> forall n, word n -> word (S n).",,,7612.0,33.0,False,False,7583.0,True,616.0
ci-fiat_parsers,13107,2021-06-29 14:41:10,2021-06-29 14:48:49,"Minimized File /github/workspace/builds/coq/coq-failing/_build_ci/fiat_parsers/src/Common.v (from ci-fiat_parsers) (full log on GitHub Actions)\nMinimized Coq File (consider adding this file to the test-suite)\n(* -*- mode: coq; coq-prog-args: (""-emacs"" ""-q"" ""-w"" ""-deprecated-native-compiler-option"" ""-w"" ""-deprecated-appcontext -notation-overridden"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/fiat_parsers/src"" ""Fiat"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/fiat_parsers/Bedrock"" ""Bedrock"" ""-Q"" ""/github/workspace/cwd"" ""Top"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_install_ci/lib/coq/user-contrib/Ltac2"" ""Ltac2"" ""-I"" ""/github/workspace/builds/coq/coq-failing/_build_ci/fiat_parsers/src/Common/Tactics"" ""-top"" ""Common"" ""-native-compiler"" ""no"" ""-require-import"" ""Coq.Compat.AdmitAxiom"" ""-native-compiler"" ""no"") -*- *)\n(* File reduced by coq-bug-finder from original input, then from 1806 lines to 13 lines, then from 17 lines to 12 lines *)\n(* coqc version 8.15+alpha compiled with OCaml 4.05.0\n   coqtop version 8.15+alpha *)\nLemma path_prod {A B} {x y : A * B}\n      (H : x = y)\n  : fst x = fst y /\ snd x = snd y.\nadmit.\nDefined.\n\nDefinition path_prod' {A B} {x x' : A} {y y' : B}\n           (H : (x, y) = (x', y'))\n  : x = x' /\ y = y'",,,1806.0,12.0,False,False,1798.0,True,459.0
ci-hott,13107,2021-06-29 14:41:10,2021-06-29 14:48:20,"Minimized File /github/workspace/builds/coq/coq-failing/_build_ci/hott/theories/Basics/PathGroupoids.v (from ci-hott) (full log on GitHub Actions)\nMinimized Coq File (consider adding this file to the test-suite)\n(* -*- mode: coq; coq-prog-args: (""-emacs"" ""-q"" ""-noinit"" ""-indices-matter"" ""-w"" ""-deprecated-native-compiler-option"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/hott/theories"" ""HoTT"" ""-Q"" ""/github/workspace/cwd"" ""Top"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_build_ci/hott/contrib"" ""HoTT.Contrib"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_install_ci/lib/coq/user-contrib/Ltac2"" ""Ltac2"" ""-top"" ""PathGroupoids"" ""-native-compiler"" ""no"") -*- *)\n(* File reduced by coq-bug-finder from original input, then from 1349 lines to 12 lines, then from 27 lines to 841 lines, then from 842 lines to 30 lines, then from 43 lines to 86 lines, then from 90 lines to 34 lines, then from 46 lines to 340 lines, then from 339 lines to 43 lines, then from 47 lines to 42 lines *)\n(* coqc version 8.15+alpha compiled with OCaml 4.05.0\n   coqtop version 8.15+alpha *)\nReserved Notation ""x -> y"" (at level 99, right associativity, y at level 200).\n\nReserved Notation ""x = y  :>  T""\n(at level 70, y at next level, no associativity).\nReserved Notation ""x = y"" (at level 70, no associativity).\nReserved Notation ""p @ q"" (at level 20).\nDeclare Scope type_scope.\nDelimit Scope path_scope with path.\nGlobal Open Scope path_scope.",,,1349.0,42.0,False,False,1355.0,True,430.0
ci-mathcomp,13107,2021-06-29 14:41:10,2021-06-29 14:47:52,"Minimized File /github/workspace/builds/coq/coq-failing/_build_ci/mathcomp/mathcomp/ssreflect/ssrnat.v (from ci-mathcomp) (full log on GitHub Actions)\nMinimized Coq File (consider adding this file to the test-suite)\n(* -*- mode: coq; coq-prog-args: (""-emacs"" ""-q"" ""-w"" ""-projection-no-head-constant"" ""-w"" ""-redundant-canonical-projection"" ""-w"" ""-notation-overridden"" ""-w"" ""+duplicate-clear"" ""-w"" ""-ambiguous-paths"" ""-w"" ""+non-primitive-record"" ""-w"" ""+undeclared-scope"" ""-w"" ""-deprecated-hint-without-locality"" ""-w"" ""-deprecated-ident-entry"" ""-w"" ""-deprecated-native-compiler-option"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/mathcomp/mathcomp"" ""mathcomp"" ""-Q"" ""/github/workspace/cwd"" ""Top"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_install_ci/lib/coq/user-contrib/Ltac2"" ""Ltac2"" ""-I"" ""/github/workspace/builds/coq/coq-failing/_build_ci/mathcomp/mathcomp"" ""-top"" ""ssrnat"" ""-native-compiler"" ""ondemand"") -*- *)\n(* File reduced by coq-bug-finder from original input, then from 2023 lines to 30 lines, then from 46 lines to 81 lines, then from 85 lines to 31 lines, then from 44 lines to 176 lines, then from 180 lines to 32 lines, then from 36 lines to 32 lines *)\n(* coqc version 8.15+alpha compiled with OCaml 4.12.0\n   coqtop version 8.15+alpha *)\nAxiom proof_admitted : False.\nTactic Notation ""admit"" := abstract case proof_admitted.\nRequire Coq.ssr.ssreflect.\n\nExport Coq.ssr.ssreflect.\nRequire Coq.ssr.ssrfun.\nExport Coq.ssr.ssrfun.\n\nNotation succn := Datatypes.S.",,,2023.0,32.0,False,False,2032.0,True,402.0
ci-mtac2,13107,2021-06-29 14:41:10,2021-06-29 14:45:53,"Minimized File /github/workspace/builds/coq/coq-failing/_build_ci/mtac2/theories/intf/MTele.v (from ci-mtac2) (full log on GitHub Actions)\nMinimized Coq File (consider adding this file to the test-suite)\n(* -*- mode: coq; coq-prog-args: (""-emacs"" ""-q"" ""-bt"" ""-w"" ""-unrecognized-unicode"" ""-w"" ""-deprecated-native-compiler-option"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/mtac2/theories"" ""Mtac2"" ""-Q"" ""/github/workspace/cwd"" ""Top"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_build_ci/mtac2/tests"" ""Mtac2Tests"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_install_ci/lib/coq/user-contrib/Ltac2"" ""Ltac2"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_install_ci/lib/coq/user-contrib/Unicoq"" ""Unicoq"" ""-I"" ""/github/workspace/builds/coq/coq-failing/_build_ci/mtac2/src"" ""-top"" ""MTele"" ""-native-compiler"" ""ondemand"") -*- *)\n(* File reduced by coq-bug-finder from original input, then from 251 lines to 65 lines, then from 80 lines to 410 lines, then from 408 lines to 69 lines, then from 80 lines to 197 lines, then from 198 lines to 107 lines, then from 111 lines to 107 lines *)\n(* coqc version 8.15+alpha compiled with OCaml 4.05.0\n   coqtop version 8.15+alpha *)\nSet Universe Polymorphism.\n\nMonomorphic Inductive Sort : Type := Prop_sort | Type_sort.\n\nNotation ""'Typeₛ'"" := Type_sort.\nNotation ""'Propₛ'"" := Prop_sort.\n\nDefinition stype_of (s : Sort) : Type :=\n  match s with Typeₛ => Type | Propₛ => Prop end.",,,251.0,107.0,False,False,173.0,True,283.0
ci-rewriter,13107,2021-06-29 14:41:10,2021-06-29 14:56:20,"Minimized File /github/workspace/builds/coq/coq-failing/_build_ci/rewriter/src/Rewriter/Language/Language.v (from ci-rewriter) (full log on GitHub Actions)\nMinimized Coq File (consider adding this file to the test-suite)\n(* -*- mode: coq; coq-prog-args: (""-emacs"" ""-q"" ""-w"" ""+implicit-core-hint-db,+implicits-in-term,+non-reversible-notation,+deprecated-intros-until-0,+deprecated-focus,+unused-intro-pattern,+deprecated-hint-constr,+fragile-hint-constr,+variable-collision,+unexpected-implicit-declaration,+omega-is-deprecated,+non-recursive"" ""-w"" ""-notation-overridden,-undeclared-scope,-deprecated-hint-rewrite-without-locality"" ""-w"" ""-notation-overridden,-undeclared-scope"" ""-w"" ""-deprecated-native-compiler-option"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/rewriter/src/Rewriter"" ""Rewriter"" ""-Q"" ""/github/workspace/cwd"" ""Top"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_install_ci/lib/coq/user-contrib/Ltac2"" ""Ltac2"" ""-I"" ""/github/workspace/builds/coq/coq-failing/_build_ci/rewriter/src/Rewriter/Util/plugins"" ""-top"" ""Language"" ""-native-compiler"" ""no"") -*- *)\n(* File reduced by coq-bug-finder from original input, then from 2114 lines to 27 lines, then from 90 lines to 584 lines, then from 587 lines to 37 lines, then from 53 lines to 109 lines, then from 113 lines to 38 lines, then from 53 lines to 257 lines, then from 261 lines to 37 lines, then from 41 lines to 37 lines *)\n(* coqc version 8.15+alpha compiled with OCaml 4.12.0\n   coqtop version 8.15+alpha *)\nAxiom proof_admitted : False.\nTactic Notation ""admit"" := abstract case proof_admitted.\nReserved Notation ""~> R"" (at level 70).\nRequire Coq.Strings.String.\n\nNotation ""~> R"" := (forall T (_:R->T), T) : type_scope.\nImport Coq.Bool.Bool.\n\nLemma reflect_to_dec {P b1 b2} : reflect P b1 -> (b1 = b2) -> (if b2 then P else ~P).",,,2114.0,37.0,False,False,2186.0,True,910.0
ci-unimath,13107,2021-06-29 14:41:10,2021-06-29 14:47:10,"Minimized File /github/workspace/builds/coq/coq-failing/_build_ci/unimath/UniMath/Foundations/PartA.v (from ci-unimath) (full log on GitHub Actions)\nMinimized Coq File (consider adding this file to the test-suite)\n(* -*- mode: coq; coq-prog-args: (""-emacs"" ""-q"" ""-noinit"" ""-indices-matter"" ""-type-in-type"" ""-w"" ""-notation-overridden"" ""-w"" ""-deprecated-native-compiler-option"" ""-Q"" ""/github/workspace/cwd"" ""Top"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_build_ci/unimath/UniMath"" ""UniMath"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_install_ci/lib/coq/user-contrib/Ltac2"" ""Ltac2"" ""-top"" ""PartA"" ""-native-compiler"" ""no"") -*- *)\n(* File reduced by coq-bug-finder from original input, then from 3952 lines to 20 lines, then from 35 lines to 231 lines, then from 234 lines to 37 lines, then from 51 lines to 252 lines, then from 256 lines to 47 lines, then from 51 lines to 47 lines *)\n(* coqc version 8.15+alpha compiled with OCaml 4.12.0\n   coqtop version 8.15+alpha *)\nDeclare ML Module ""ltac_plugin"".\nInductive False := .\nAxiom proof_admitted : False.\nTactic Notation ""admit"" := abstract case proof_admitted.\nRequire Coq.Init.Logic.\n\nExport Coq.Init.Logic.\n\nExport Coq.Init.Ltac.",,,3952.0,47.0,False,False,3945.0,True,360.0
ci-perennial,13107,2021-06-29 19:44:41,2021-06-29 22:12:09,"Minimized File /github/workspace/builds/coq/coq-failing/_build_ci/perennial/external/stdpp/theories/vector.v (from ci-perennial) (full log on GitHub Actions)\nMinimized Coq File (consider adding this file to the test-suite)\n(* -*- mode: coq; coq-prog-args: (""-emacs"" ""-w"" ""-ssr-search-moved"" ""-w"" ""-deprecated-hint-without-locality"" ""-w"" ""-deprecated-instance-without-locality"" ""-w"" ""-deprecated-hint-rewrite-without-locality"" ""-w"" ""+deprecated-tactic-notation"" ""-w"" ""-notation-overridden,-redundant-canonical-projection"" ""-w"" ""-deprecated-native-compiler-option"" ""-Q"" ""/github/workspace/cwd"" ""Top"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_build_ci/perennial/src"" ""Perennial"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_build_ci/perennial/external/stdpp/theories"" ""stdpp"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_build_ci/perennial/external/iris/iris"" ""iris"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_build_ci/perennial/external/iris/iris_deprecated"" ""iris.deprecated"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_build_ci/perennial/external/iris/iris_staging"" ""iris.staging"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_build_ci/perennial/external/iris/iris_heap_lang"" ""iris.heap_lang"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_build_ci/perennial/external/coqutil/src/coqutil"" ""coqutil"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_build_ci/perennial/external/Goose"" ""Goose"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_build_ci/perennial/external/record-update/src"" ""RecordUpdate"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_build_ci/perennial/external/coq-tactical/src"" ""Tactical"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_build_ci/perennial/external/iris-named-props/src"" ""iris_named_props"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_install_ci/lib/coq/user-contrib/Ltac2"" ""Ltac2"" ""-top"" ""vector"" ""-native-compiler"" ""ondemand"") -*- *)\n(* File reduced by coq-bug-finder from original input, then from 385 lines to 76 lines, then from 117 lines to 477 lines, then from 481 lines to 77 lines, then from 114 lines to 231 lines, then from 235 lines to 85 lines, then from 122 lines to 5034 lines, then from 5038 lines to 88 lines, then from 124 lines to 1488 lines, then from 1490 lines to 88 lines, then from 116 lines to 555 lines, then from 559 lines to 89 lines, then from 116 lines to 770 lines, then from 772 lines to 112 lines, then from 137 lines to 382 lines, then from 386 lines to 113 lines, then from 137 lines to 187 lines, then from 191 lines to 113 lines, then from 136 lines to 1554 lines, then from 1554 lines to 128 lines, then from 132 lines to 128 lines *)\n(* coqc version 8.15+alpha compiled with OCaml 4.12.0\n   coqtop version 8.15+alpha *)\nAxiom proof_admitted : False.\nTactic Notation ""admit"" := abstract case proof_admitted.\nRequire Coq.Unicode.Utf8.\nRequire Coq.Program.Syntax.\nExport Coq.Lists.List.\nExport Coq.Setoids.Setoid.\nExport Coq.Unicode.Utf8.\nExport ListNotations.\n",,,385.0,128.0,False,False,567.0,True,8848.0
ci-equations,13107,2021-06-29 20:19:53,2021-06-29 20:24:23,"Minimized File /github/workspace/builds/coq/coq-failing/_build_ci/equations/test-suite/issues/issue7.v (from ci-equations) (full log on GitHub Actions)\nMinimized Coq File (consider adding this file to the test-suite)\n(* -*- mode: coq; coq-prog-args: (""-emacs"" ""-q"" ""-w"" ""-deprecated-native-compiler-option"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/equations/test-suite"" ""TestSuite"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/equations/theories"" ""Equations"" ""-Q"" ""/github/workspace/cwd"" ""Top"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_install_ci/lib/coq/user-contrib/Ltac2"" ""Ltac2"" ""-I"" ""/github/workspace/builds/coq/coq-failing/_build_ci/equations/src"" ""-top"" ""issue7"" ""-native-compiler"" ""no"") -*- *)\n(* File reduced by coq-bug-finder from original input, then from 161 lines to 13 lines, then from 17 lines to 13 lines *)\n(* coqc version 8.15+alpha compiled with OCaml 4.05.0\n   coqtop version 8.15+alpha *)\nRequire Coq.Program.Program.\nImport Coq.Program.Program.\n\nInductive TupleT : nat -> Type :=\n| nilT : TupleT 0\n| consT {n} A : (A -> TupleT n) -> TupleT (S n).\n\nInductive TupleMap@{i j} : forall n, TupleT n -> TupleT n -> Type@{j} :=\n  tmNil : TupleMap _ nilT nilT",,,161.0,13.0,False,False,152.0,True,270.0
ci-relation_algebra,13107,2021-06-29 21:25:28,2021-06-29 21:35:37,"Minimized File /github/workspace/builds/coq/coq-failing/_build_ci/relation_algebra/traces.v (from ci-relation_algebra) (full log on GitHub Actions)\nMinimized Coq File (consider adding this file to the test-suite)\n(* -*- mode: coq; coq-prog-args: (""-emacs"" ""-q"" ""-w"" ""-projection-no-head-constant"" ""-w"" ""-notation-overridden"" ""-w"" ""-redundant-canonical-projection"" ""-w"" ""-deprecated-native-compiler-option"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/relation_algebra"" ""RelationAlgebra"" ""-Q"" ""/github/workspace/cwd"" ""Top"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_install_ci/lib/coq/user-contrib/Ltac2"" ""Ltac2"" ""-I"" ""/github/workspace/builds/coq/coq-failing/_build_ci/relation_algebra"" ""-top"" ""traces"" ""-native-compiler"" ""ondemand"") -*- *)\n(* File reduced by coq-bug-finder from original input, then from 642 lines to 73 lines, then from 94 lines to 171 lines, then from 173 lines to 73 lines, then from 90 lines to 629 lines, then from 620 lines to 91 lines, then from 109 lines to 171 lines, then from 175 lines to 100 lines, then from 116 lines to 718 lines, then from 707 lines to 134 lines, then from 149 lines to 268 lines, then from 266 lines to 139 lines, then from 143 lines to 139 lines *)\n(* coqc version 8.15+alpha compiled with OCaml 4.05.0\n   coqtop version 8.15+alpha *)\nRequire Coq.Setoids.Setoid.\nRequire Coq.Numbers.BinNums.\nExport Coq.Setoids.Setoid.\nExport Coq.Classes.Morphisms.\nNotation impl := Basics.impl.\nNotation pwr := (pointwise_relation _).\n\nModule Export lattice.\nDelimit Scope ra_terms with ra.",,,642.0,139.0,False,False,578.0,True,609.0
ci-cross_crypto,13107,2021-07-01 16:59:09,2021-07-01 17:27:36,"Minimized File /github/workspace/builds/coq/coq-failing/_build_ci/cross_crypto/src/Minimalistic.v (from ci-cross_crypto) (full log on GitHub Actions)\nMinimized Coq File (consider adding this file to the test-suite)\n(* -*- mode: coq; coq-prog-args: (""-emacs"" ""-q"" ""-w"" ""-deprecated-native-compiler-option"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/cross_crypto/src"" ""CrossCrypto"" ""-Q"" ""/github/workspace/cwd"" ""Top"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_build_ci/cross_crypto/fcf/src/FCF"" ""FCF"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_build_ci/cross_crypto/fcf/src/HMAC"" ""HMAC"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_install_ci/lib/coq/user-contrib/Ltac2"" ""Ltac2"" ""-I"" ""/github/workspace/builds/coq/coq-failing/_build_ci/cross_crypto/fcf/src"" ""-top"" ""Minimalistic"" ""-native-compiler"" ""ondemand"") -*- *)\n(* File reduced by coq-bug-finder from original input, then from 3477 lines to 44 lines, then from 94 lines to 303 lines, then from 306 lines to 54 lines, then from 100 lines to 116 lines, then from 120 lines to 49 lines, then from 87 lines to 107 lines, then from 110 lines to 50 lines, then from 83 lines to 888 lines, then from 885 lines to 73 lines, then from 105 lines to 188 lines, then from 189 lines to 82 lines, then from 113 lines to 497 lines, then from 494 lines to 113 lines, then from 143 lines to 1265 lines, then from 1258 lines to 121 lines, then from 125 lines to 121 lines *)\n(* coqc version 8.15+alpha compiled with OCaml 4.05.0\n   coqtop version 8.15+alpha *)\nAxiom proof_admitted : False.\nTactic Notation ""admit"" := abstract case proof_admitted.\nRequire Coq.MSets.MSetPositive.\nRequire Coq.FSets.FMapPositive.\nRequire FCF.Fold.\nExport Coq.Lists.List.\nExport Coq.Bool.Bvector.\n\nFixpoint getAllBvectors(n : nat) : (list (Bvector n)) :=",,,3477.0,121.0,False,False,3618.0,True,1707.0
ci-tlc,13107,2021-07-02 00:26:29,2021-07-02 01:28:51,"Minimized File /github/workspace/builds/coq/coq-failing/_build_ci/tlc/src/LibFix.v (from ci-tlc) (full log on GitHub Actions)\nMinimized Coq File (consider adding this file to the test-suite)\n(* -*- mode: coq; coq-prog-args: (""-emacs"" ""-w"" ""-implicit-core-hint-db,-omega-is-deprecated"" ""-w"" ""-deprecated-native-compiler-option"" ""-R"" ""/github/workspace/builds/coq/coq-failing/_build_ci/tlc/src"" ""TLC"" ""-Q"" ""/github/workspace/cwd"" ""Top"" ""-Q"" ""/github/workspace/builds/coq/coq-failing/_install_ci/lib/coq/user-contrib/Ltac2"" ""Ltac2"" ""-top"" ""LibFix"" ""-native-compiler"" ""ondemand"") -*- *)\n(* File reduced by coq-bug-finder from original input, then from 2300 lines to 54 lines, then from 88 lines to 348 lines, then from 338 lines to 65 lines, then from 95 lines to 332 lines, then from 319 lines to 72 lines, then from 101 lines to 2544 lines, then from 2499 lines to 87 lines, then from 110 lines to 1281 lines, then from 1252 lines to 109 lines, then from 128 lines to 182 lines, then from 182 lines to 111 lines, then from 130 lines to 5323 lines, then from 5250 lines to 128 lines, then from 132 lines to 128 lines *)\n(* coqc version 8.15+alpha compiled with OCaml 4.05.0\n   coqtop version 8.15+alpha *)\nAxiom proof_admitted : False.\nTactic Notation ""admit"" := abstract case proof_admitted.\n\nLtac introv_arg H :=\n  hnf; match goal with\n  | |- ?P -> ?Q => intros H\n  | |- forall _, _ => intro; introv_arg H\n  end.\nTactic Notation ""introv"" simple_intropattern(I1) :=",,,2300.0,128.0,False,False,2160.0,True,3742.0
