id,number,date,body
799599679,13942,2021-03-15 17:21:55,"Hey @JasonGross, the coq bug minimizer is running your script, I'll come back to you with the results once it's done."
799609391,13942,2021-03-15 17:34:26,"Hey @JasonGross, the coq bug minimizer is running your script, I'll come back to you with the results once it's done."
799687419,13942,2021-03-15 19:20:09,"Hey @JasonGross, the coq bug minimizer is running your script, I'll come back to you with the results once it's done."
799692685,13942,2021-03-15 19:28:18,"@JasonGross, Error: Could not minimize file /github/workspace/iris/tests/one_shot.v\nerror log\n++ �[33;1m(./run.sh @ line 2) $�[0m git clone https://gitlab.mpi-sws.org/iris/iris.git\nCloning into 'iris'...\n++ �[33;1m(./run.sh @ line 2) $�[0m cd iris\n++ �[33;1m(./run.sh @ line 2) $�[0m git checkout 59d18188f9db844a75f5e37dc7cbc6c39ecbb24f\nNote: checking out '59d18188f9db844a75f5e37dc7cbc6c39ecbb24f'.\n\nYou are in 'detached HEAD' state. You can look around, make experimental\nchanges and commit them, and you can discard any commits you make in this\nstate without impacting any branches by performing another checkout.\n\nIf you want to create a new branch to retain commits you create, you may\ndo so (now or later) by using -b with the checkout command again. Example:\n"
799701156,13942,2021-03-15 19:42:04,"Hey @JasonGross, the coq bug minimizer is running your script, I'll come back to you with the results once it's done."
799705476,13942,2021-03-15 19:49:19,"@JasonGross, Error: Could not minimize file /github/workspace/iris/tests/one_shot.v\nbuild log\n++ �[33;1m(./run.sh @ line 2) $�[0m git clone https://gitlab.mpi-sws.org/iris/iris.git\nCloning into 'iris'...\n++ �[33;1m(./run.sh @ line 2) $�[0m cd iris\n++ �[33;1m(./run.sh @ line 2) $�[0m git checkout 59d18188f9db844a75f5e37dc7cbc6c39ecbb24f\nNote: checking out '59d18188f9db844a75f5e37dc7cbc6c39ecbb24f'.\n\nYou are in 'detached HEAD' state. You can look around, make experimental\nchanges and commit them, and you can discard any commits you make in this\nstate without impacting any branches by performing another checkout.\n\nIf you want to create a new branch to retain commits you create, you may\ndo so (now or later) by using -b with the checkout command again. Example:\n"
799713338,13942,2021-03-15 20:02:03,"Hey @JasonGross, the coq bug minimizer is running your script, I'll come back to you with the results once it's done."
799717842,13942,2021-03-15 20:09:26,"@JasonGross, Error: Could not minimize file /github/workspace/iris/tests/one_shot.v\nbuild log\n++ �[33;1m(./run.sh @ line 2) $�[0m git clone https://gitlab.mpi-sws.org/iris/iris.git\nCloning into 'iris'...\n++ �[33;1m(./run.sh @ line 2) $�[0m cd iris\n++ �[33;1m(./run.sh @ line 2) $�[0m git checkout 59d18188f9db844a75f5e37dc7cbc6c39ecbb24f\nNote: checking out '59d18188f9db844a75f5e37dc7cbc6c39ecbb24f'.\n\nYou are in 'detached HEAD' state. You can look around, make experimental\nchanges and commit them, and you can discard any commits you make in this\nstate without impacting any branches by performing another checkout.\n\nIf you want to create a new branch to retain commits you create, you may\ndo so (now or later) by using -b with the checkout command again. Example:\n"
799726081,13942,2021-03-15 20:23:18,"Hey @RalfJung, the coq bug minimizer is running your script, I'll come back to you with the results once it's done."
799729464,13942,2021-03-15 20:29:11,"Hey @JasonGross, the coq bug minimizer is running your script, I'll come back to you with the results once it's done."
799901265,13942,2021-03-16 02:46:40,"@JasonGross, Minimized File /github/workspace/iris/tests/one_shot.v\nMinimized Coq File\nModule Export AdmitTactic.\nModule Import LocalFalse.\nInductive False := .\nEnd LocalFalse.\nAxiom proof_admitted : False.\nDeclare ML Module ""ltac_plugin"".\nTactic Notation ""admit"" := abstract case proof_admitted.\nEnd AdmitTactic.\n\nFrom iris.algebra Require Import excl agree csum.\nFrom iris.proofmode Require Import tactics.\nFrom iris.program_logic Require Export weakestpre.\nFrom iris.deprecated.program_logic Require Import hoare."
799909804,13942,2021-03-16 03:10:58,"@RalfJung, Minimized File /github/workspace/iris/iris_heap_lang/lib/one_shot.v\nMinimized Coq File\nModule Export AdmitTactic.\nModule Import LocalFalse.\nInductive False := .\nEnd LocalFalse.\nAxiom proof_admitted : False.\nDeclare ML Module ""ltac_plugin"".\nTactic Notation ""admit"" := abstract case proof_admitted.\nEnd AdmitTactic.\nRequire iris.algebra.excl.\nRequire iris.algebra.agree.\nRequire iris.algebra.csum.\nRequire iris.proofmode.tactics.\nRequire iris.program_logic.weakestpre."
991103795,15325,2021-12-10 16:15:31,"Hey @JasonGross, the coq bug minimizer is running your script, I'll come back to you with the results once it's done."
991105413,15325,2021-12-10 16:17:38,"@JasonGross, Error: Could not minimize file  (full log on GitHub Actions)\nbuild log\n++ �[33;1m(/github/workspace/run-script.sh @ line 1) $�[0m opam install --deps-only coq-mathcomp-analysis\nThe following dependencies couldn't be met:\n  - coq-mathcomp-analysis -> coq < 8.9~\n      not available because the package is pinned to version 8.14.1\n  - coq-mathcomp-analysis -> coq-hierarchy-builder >= 0.10.0 -> coq-elpi (< 1.9~ | >= dev) -> coq < 8.14~\n      not available because the package is pinned to version 8.14.1\n  - coq-mathcomp-analysis -> coq-hierarchy-builder >= 0.10.0 -> coq-elpi (< 1.9~ | >= dev) -> ocaml >= 4.07.0\n      base of this switch (use `--unlock-base' to force)\n  - coq-mathcomp-analysis -> coq-mathcomp-finmap < 1.4~ -> coq-mathcomp-ssreflect < 1.8~ -> coq < 8.10~\n      not available because the package is pinned to version 8.14.1\n  - coq-mathcomp-analysis -> coq-mathcomp-finmap < 1.4~ -> coq < 8.11.1\n      not available because the package is pinned to version 8.14.1\n"
991108317,15325,2021-12-10 16:21:19,"Hey @proux01, the coq bug minimizer is running your script, I'll come back to you with the results once it's done."
991110290,15325,2021-12-10 16:23:41,"@proux01, Error: Could not minimize file  (full log on GitHub Actions)\nbuild log\n++ �[33;1m(/github/workspace/run-script.sh @ line 1) $�[0m opam update\n\n<><> Updating package repositories ><><><><><><><><><><><><><><><><><><><><><><>\n[coq-released] no changes from https://coq.inria.fr/opam/released\n[default] no changes from https://opam.ocaml.org\n++ �[33;1m(/github/workspace/run-script.sh @ line 2) $�[0m opam install --deps-only coq-mathcomp-analysis\nThe following dependencies couldn't be met:\n  - coq-mathcomp-analysis -> coq < 8.9~\n      not available because the package is pinned to version 8.14.1\n  - coq-mathcomp-analysis -> coq-hierarchy-builder >= 0.10.0 -> coq-elpi (< 1.9~ | >= dev) -> coq < 8.14~\n      not available because the package is pinned to version 8.14.1\n  - coq-mathcomp-analysis -> coq-hierarchy-builder >= 0.10.0 -> coq-elpi (< 1.9~ | >= dev) -> ocaml >= 4.07.0\n      base of this switch (use `--unlock-base' to force)"
991120688,15325,2021-12-10 16:37:12,"@JasonGross, Error: Could not minimize file  (full log on GitHub Actions)\nbuild log\n++ �[33;1m(/github/workspace/run-script.sh @ line 1) $�[0m opam repo add coq-core-dev https://coq.inria.fr/opam/core-dev\n[coq-core-dev] Initialised\n[NOTE] Repository coq-core-dev has been added to the selections of switch 4.05.0 only.\n       Run `opam repository add coq-core-dev --all-switches|--set-default' to use it in all existing switches, or in newly created switches, respectively.\n\n++ �[33;1m(/github/workspace/run-script.sh @ line 2) $�[0m opam repo add coq-extra-dev https://coq.inria.fr/opam/extra-dev\n[coq-extra-dev] Initialised\n[NOTE] Repository coq-extra-dev has been added to the selections of switch 4.05.0 only.\n       Run `opam repository add coq-extra-dev --all-switches|--set-default' to use it in all existing switches, or in newly created switches, respectively.\n\n++ �[33;1m(/github/workspace/run-script.sh @ line 3) $�[0m opam update\n\n<><> Updating package repositories ><><><><><><><><><><><><><><><><><><><><><><>"
991121392,15325,2021-12-10 16:38:09,"@JasonGross, Error: Could not minimize file  (full log on GitHub Actions)\nbuild log\n++ �[33;1m(/github/workspace/run-script.sh @ line 1) $�[0m opam repo add coq-core-dev https://coq.inria.fr/opam/core-dev\n[coq-core-dev] Initialised\n[NOTE] Repository coq-core-dev has been added to the selections of switch 4.05.0 only.\n       Run `opam repository add coq-core-dev --all-switches|--set-default' to use it in all existing switches, or in newly created switches, respectively.\n\n++ �[33;1m(/github/workspace/run-script.sh @ line 2) $�[0m opam repo add coq-extra-dev https://coq.inria.fr/opam/extra-dev\n[coq-extra-dev] Initialised\n[NOTE] Repository coq-extra-dev has been added to the selections of switch 4.05.0 only.\n       Run `opam repository add coq-extra-dev --all-switches|--set-default' to use it in all existing switches, or in newly created switches, respectively.\n\n++ �[33;1m(/github/workspace/run-script.sh @ line 3) $�[0m opam update\n\n<><> Updating package repositories ><><><><><><><><><><><><><><><><><><><><><><>"
1031017466,6984,2022-02-07 02:42:33,"Hey @Alizter, the coq bug minimizer is running your script, I'll come back to you with the results once it's done."
1031032018,6984,2022-02-07 03:18:37,"@Alizter, Minimized File /github/workspace/VST/veric/SeparationLogic.v (full log on GitHub Actions)\nMinimized Coq File (truncated to 32KiB; full 56KiB file on GitHub Actions Artifacts under bug.v)\nDeclare ML Module ""ltac_plugin"".\nModule Export AdmitTactic.\nModule Import LocalFalse.\nInductive False : Prop := .\nEnd LocalFalse.\nAxiom proof_admitted : False.\nGlobal Set Default Proof Mode ""Classic"".\nTactic Notation ""admit"" := abstract case proof_admitted.\nEnd AdmitTactic.\nRequire Import VST.veric.base.\nRequire Export compcert.lib.Axioms.\nRequire Import compcert.lib.Coqlib.\nRequire Export compcert.lib.Integers."
1031035305,6984,2022-02-07 03:25:59,"@Alizter, Error: Could not minimize file  (full log on GitHub Actions)\nbuild log\n++ �[33;1m(/github/workspace/run-script.sh @ line 1) $�[0m opam switch create coq.8.7.2 --empty\n++ �[33;1m(/github/workspace/run-script.sh @ line 2) $�[0m opam switch coq.8.7.2\n# Run eval $(opam env) to update the current shell environment\n++ �[33;1m(/github/workspace/run-script.sh @ line 3) $�[0m opam install -y coq.8.7.2\nThe following actions will be performed:\n  - install base-bigarray       base\n  - install ocaml-base-compiler 4.09.1 [required by ocaml]\n  - install conf-perl           2      [required by camlp5]\n  - install base-threads        base\n  - install base-unix           base\n  - install conf-findutils      1      [required by coq]\n  - install ocaml-config        1      [required by ocaml]\n  - install ocaml               4.09.1 [required by coq]"
1031039789,6984,2022-02-07 03:35:27,"@Alizter, Minimized File /github/workspace/VST/veric/SeparationLogic.v (full log on GitHub Actions)\nMinimized Coq File (truncated to 32KiB; full 56KiB file on GitHub Actions Artifacts under bug.v)\nDeclare ML Module ""ltac_plugin"".\nModule Export AdmitTactic.\nModule Import LocalFalse.\nInductive False : Prop := .\nEnd LocalFalse.\nAxiom proof_admitted : False.\nGlobal Set Default Proof Mode ""Classic"".\nTactic Notation ""admit"" := abstract case proof_admitted.\nEnd AdmitTactic.\nRequire Import VST.veric.base.\nRequire Export compcert.lib.Axioms.\nRequire Import compcert.lib.Coqlib.\nRequire Export compcert.lib.Integers."
886105356,14708,2021-07-24 20:05:58,"Hey @JasonGross, the coq bug minimizer is running your script, I'll come back to you with the results once it's done."
886105916,14708,2021-07-24 20:11:08,"@JasonGross, Minimized File /github/workspace/plf/test123.v (full log on GitHub Actions)\nMinimized Coq File (consider adding this file to the test-suite)\n(* -*- mode: coq; coq-prog-args: (""-emacs"" ""-q"" ""-w"" ""-deprecated-native-compiler-option"" ""-Q"" ""/github/workspace/cwd"" ""Top"" ""-Q"" ""/github/workspace/plf"" ""PLF"" ""-Q"" ""/home/coq/.opam/4.05.0/lib/coq/user-contrib/Bignums"" ""Bignums"" ""-Q"" ""/home/coq/.opam/4.05.0/lib/coq/user-contrib/Ltac2"" ""Ltac2"" ""-top"" ""test123"" ""-native-compiler"" ""ondemand"") -*- *)\n(* File reduced by coq-bug-finder from original input, then from 42 lines to 13 lines, then from 38 lines to 2148 lines, then from 2152 lines to 55 lines, then from 78 lines to 937 lines, then from 940 lines to 32 lines, then from 36 lines to 32 lines *)\n(* coqc version 8.13.2 (April 2021) compiled on Apr 3 2021 23:10:57 with OCaml 4.05.0\n   coqtop version 8.13.2 (April 2021) *)\nRequire Coq.Strings.String.\nImport Coq.Strings.String.\n\nInductive ty : Type :=\n  | Ty_Bool  : ty\n  | Ty_Arrow : ty -> ty -> ty.\n\nInductive tm : Type :=\n  | tm_var   : string -> tm"
886109422,14708,2021-07-24 20:46:15,"Hey @afdw, the coq bug minimizer is running your script, I'll come back to you with the results once it's done."
886109974,14708,2021-07-24 20:51:53,"@afdw, Minimized File /github/workspace/plf/test123.v (full log on GitHub Actions)\nMinimized Coq File (consider adding this file to the test-suite)\n(* -*- mode: coq; coq-prog-args: (""-emacs"" ""-q"" ""-w"" ""-deprecated-native-compiler-option"" ""-Q"" ""/github/workspace/cwd"" ""Top"" ""-Q"" ""/github/workspace/plf"" ""PLF"" ""-Q"" ""/home/coq/.opam/4.05.0/lib/coq/user-contrib/Bignums"" ""Bignums"" ""-Q"" ""/home/coq/.opam/4.05.0/lib/coq/user-contrib/Ltac2"" ""Ltac2"" ""-top"" ""test123"" ""-native-compiler"" ""ondemand"") -*- *)\n(* File reduced by coq-bug-finder from original input, then from 42 lines to 13 lines, then from 38 lines to 2148 lines, then from 2152 lines to 14 lines, then from 37 lines to 896 lines, then from 899 lines to 13 lines, then from 17 lines to 12 lines *)\n(* coqc version 8.13.2 (April 2021) compiled on Apr 3 2021 23:10:57 with OCaml 4.05.0\n   coqtop version 8.13.2 (April 2021) *)\nDeclare Custom Entry stlc.\nNotation ""<{ e }>"" := e (e custom stlc at level 99).\nNotation ""x"" := x (in custom stlc at level 0, x constr at level 0).\n\nCompute (\n  match 123 with\n  | <{ unit }> when true => _\n  | _ => 1\n  end"
800688757,13942,2021-03-16 23:52:36,"Hey @JasonGross, the coq bug minimizer is running your script, I'll come back to you with the results once it's done."
800804214,13942,2021-03-17 05:24:44,"@JasonGross, Minimized File /github/workspace/iris/tests/one_shot.v\nMinimized Coq File\nModule Export AdmitTactic.\nModule Import LocalFalse.\nInductive False := .\nEnd LocalFalse.\nAxiom proof_admitted : False.\nDeclare ML Module ""ltac_plugin"".\nTactic Notation ""admit"" := abstract case proof_admitted.\nEnd AdmitTactic.\nRequire stdpp.finite.\nRequire Coq.ssr.ssreflect.\nRequire stdpp.prelude.\nRequire iris.prelude.options.\nRequire iris.prelude.prelude."
